法人番号,法人名,郵便番号,本社所在地,資本金,従業員数,設立年月日,創業年,最終更新日
2010001146962,パシフィック・エアジャパン株式会社,1030013.0,東京都中央区日本橋人形町３丁目１番１１号,,,2012-05-18,,2022-05-09 00:00:00+09:00
6011101063359,株式会社マネーフォワード,1080023.0,東京都港区芝浦３丁目１番２１号ｍｓｂＴａｍａｃｈｉ田町ステーションタワーＳ２１階,27290265000.0,1020.0,2012-05-18,,2024-12-17 00:00:00+09:00
8011401016394,株式会社ジェイセキュリティ,1690072.0,東京都新宿区大久保２丁目７−１フジビル４０２号,,,2012-05-22,,2025-06-17 00:00:00+09:00
8010401099945,インタラング・サービス株式会社,1070052.0,東京都港区赤坂８丁目４番３号,,,2012-05-23,,2022-12-16 00:00:00+09:00
2010001147044,オリエンタルトレーディング株式会社,1510051.0,東京都渋谷区千駄ヶ谷３丁目５３番１７号,,,2012-05-24,,2024-11-13 00:00:00+09:00
3012401022932,株式会社セキド,1050003.0,東京都港区西新橋２丁目３５番５号,,,2012-05-28,,2022-03-18 00:00:00+09:00
6012801009543,株式会社シード,1980086.0,東京都青梅市大柳町１４０３−１,,,2012-05-28,,2021-03-08 00:00:00+09:00
7010401099995,株式会社エイブルコーポレートサービス,1070051.0,東京都港区元赤坂１丁目５番５号,,,2012-05-28,,2019-02-27 00:00:00+09:00
9010401099993,株式会社ＣＵ,1420042.0,東京都品川区豊町５丁目７番８号,,,2012-05-28,,2024-05-15 00:00:00+09:00
4011001073773,株式会社ＵＳＰジャパン,1020093.0,東京都千代田区平河町１丁目４番３号,,,2012-05-29,,2022-01-26 00:00:00+09:00
1011101063470,株式会社コミュニケーションズ・イン,1600022.0,東京都新宿区新宿４丁目３番１７号ＦＯＲＥＣＡＳＴ新宿ＳＯＵＴＨ６階,,,2012-05-30,,2016-09-13 00:00:00+09:00
1120001171034,株式会社オフィスあしずみ,1690075.0,東京都新宿区高田馬場１丁目２３番９号イガリビル諏訪２階,,,2012-05-31,,2022-02-28 00:00:00+09:00
8010401100084,株式会社エイティワン,1580083.0,東京都世田谷区奥沢５丁目４１番３号,,,2012-06-01,,2017-06-12 00:00:00+09:00
2010401100131,アルバイオ株式会社,1010047.0,東京都千代田区内神田１丁目１５番２号神田オーシャンビル,,,2012-06-01,,2022-04-01 00:00:00+09:00
5010001147198,株式会社ＳＰＲＩＭ　ＪＡＰＡＮ,1040031.0,東京都中央区京橋２丁目６番１４号,,,2012-06-01,,2021-07-28 00:00:00+09:00
8013301032265,株式会社Ｇｌｏｗ,1710022.0,東京都豊島区南池袋２丁目１１番９号４階,,,2012-06-01,,2021-01-07 00:00:00+09:00
3010001147217,キングランリニューアル株式会社,1010052.0,東京都千代田区神田小川町１丁目１番地,,113.0,2012-06-01,,2022-03-10 00:00:00+09:00
5011001073814,株式会社フューチャーセッションズ,1500001.0,東京都渋谷区神宮前２丁目３３番１２号,,,2012-06-01,,2021-07-28 00:00:00+09:00
5011001073806,株式会社フルスコア,1500045.0,東京都渋谷区神泉町５番２号塩入小路?３階,,,2012-06-01,,2024-09-11 00:00:00+09:00
2010601042900,週刊報道サイト株式会社,1360071.0,東京都江東区亀戸２丁目４２番地６−３０４号,,,2012-06-01,,2022-06-13 00:00:00+09:00
3010901030455,株式会社ＦＲＯＮＥ,1540002.0,東京都世田谷区下馬１丁目３３番１２号,,,2012-06-01,,2022-08-04 00:00:00+09:00
4010401100146,アイシードインターナショナル株式会社,1600018.0,東京都新宿区須賀町３番地,,,2012-06-01,,2022-09-27 00:00:00+09:00
2010001147267,株式会社ラストワンマイル,1700013.0,東京都豊島区東池袋４丁目２１番１号アウルタワー３階,415982000.0,230.0,2012-06-04,,2022-10-18 00:00:00+09:00
3011001073873,Ｃｒｅｖｏ株式会社,1060032.0,東京都港区六本木４丁目８番５号,,34.0,2012-06-05,,2023-10-30 00:00:00+09:00
2010001147325,株式会社ネグナック,1130033.0,東京都文京区本郷３丁目２２番５号住友不動産本郷ビル１２階,,,2012-06-06,,2025-05-23 00:00:00+09:00
1013201019245,株式会社ダブルスタンダード,1070062.0,東京都港区南青山２丁目２番３号,263778000.0,,2012-06-06,,2022-03-29 00:00:00+09:00
9011001073901,株式会社ハニカムラボ,1510053.0,東京都渋谷区代々木１丁目１５番７号,,,2012-06-06,,2018-05-24 00:00:00+09:00
8013301032307,インターコネクト株式会社,1700014.0,東京都豊島区池袋１丁目１番８号,,,2012-06-11,,2019-08-19 00:00:00+09:00
4010001147439,ｉＪａｐａｎ株式会社,1200035.0,東京都足立区千住中居町１７−２０マルアイビル５Ｆ−２１,,,2012-06-13,,2024-05-10 00:00:00+09:00
8010601042960,株式会社ＢＬＵＥ,1020074.0,東京都千代田区九段南１丁目５番６号りそな九段ビル５Ｆ・ＫＳフロア,,,2012-06-14,,2020-05-28 00:00:00+09:00
1010401100330,株式会社ｎｉｎｅｔｙ　ｎｉｎｅ,1060032.0,東京都港区六本木７丁目５−１０−４Ｆ,,,2012-06-14,,2022-03-04 00:00:00+09:00
7010001147527,株式会社えんがわ,1040061.0,東京都中央区銀座２丁目１４番８号,,4.0,2012-06-15,,2015-10-26 00:00:00+09:00
9010001147509,株式会社アール・ハープ,1040061.0,東京都中央区銀座７丁目５−４毛利ビル５Ｆ,,21.0,2012-06-15,,2025-03-25 00:00:00+09:00
5011001090314,株式会社ＪＴＯＷＥＲ,1070062.0,東京都港区南青山２丁目２番３号,16584262000.0,136.0,2012-06-15,,2022-07-27 00:00:00+09:00
8010001147559,ＳＴｈｒｅｅ株式会社,1040061.0,東京都中央区銀座４丁目１２番１５号歌舞伎座タワー,,,2012-06-18,,2022-04-07 00:00:00+09:00
2010401100412,株式会社Ｉｎｓｉｇｈｔ　Ｔｅｃｈ,1600023.0,東京都新宿区西新宿６丁目５番１号,,,2012-06-19,,2019-04-19 00:00:00+09:00
1010001147631,トライビュー・イノベーション株式会社,1030013.0,東京都中央区日本橋人形町１丁目１７番４号,,40.0,2012-06-21,,2023-07-28 00:00:00+09:00
7050001034556,株式会社ＴＯＫＩＵＭ,1040061.0,東京都中央区銀座６丁目１８番２号,,250.0,2012-06-26,,2023-01-18 00:00:00+09:00
5013301032375,株式会社コムズクエスト,1710022.0,東京都豊島区南池袋３丁目１４番１０号アゼリア池袋３０３,,,2012-06-29,,2022-10-12 00:00:00+09:00
8010401100621,株式会社ユニバーサルサービス東京,1120014.0,東京都文京区関口１丁目３５番５号,,,2012-07-02,,2018-07-13 00:00:00+09:00
1020001096456,株式会社上武,1070052.0,東京都港区赤坂８丁目５番２８号,,,2012-07-02,,2022-07-13 00:00:00+09:00
2010401100619,株式会社フォースリー,1530042.0,東京都目黒区青葉台４丁目７番７号住友不動産青葉台ヒルズ８Ｆ,,,2012-07-02,,2018-12-10 00:00:00+09:00
5011101063789,テイケイワークス東京株式会社,1600022.0,東京都新宿区新宿３丁目１番２４号,,2600.0,2012-07-02,,2020-09-30 00:00:00+09:00
3013301032385,株式会社日本フードキャスト,1700013.0,東京都豊島区東池袋３丁目２０番３号,,,2012-07-02,,2019-06-28 00:00:00+09:00
3430003004373,ユーロドクターコンシェルジュ合同会社,1520035.0,東京都目黒区自由が丘２丁目１１番９号,,,2012-07-02,,2019-06-17 00:00:00+09:00
1010001147788,Ｈ２Ｌ株式会社,1060032.0,東京都港区六本木３丁目４番２１号,,6.0,2012-07-02,,2019-11-07 00:00:00+09:00
4010001147785,株式会社ＴＥＣインターナショナル,1000013.0,東京都千代田区霞が関３丁目７番１号霞が関東急ビル,,46.0,2012-07-02,,2021-03-04 00:00:00+09:00
2011401016490,株式会社タコスマイル,1730014.0,東京都板橋区大山東町２８−１０,,,2012-07-02,,2019-03-15 00:00:00+09:00
6013101006264,株式会社マイレ,1970823.0,東京都あきる野市野辺４６２−１７町田ビル１階,,,2012-07-02,,2018-07-11 00:00:00+09:00
4010001147793,株式会社亀岡商会,1040061.0,東京都中央区銀座２丁目６番４号,,,2012-07-02,,2019-02-28 00:00:00+09:00
3011101063799,アークテクト株式会社,1120004.0,東京都文京区後楽２丁目３−８第六松屋ビル５Ｆ５０１,,,2012-07-02,,2019-02-27 00:00:00+09:00
2030001093311,株式会社フォーエバー・パートナーズ,1040031.0,東京都中央区京橋２丁目５番２号京橋東邦センタービル９Ｆ,,,2012-07-02,,2022-02-15 00:00:00+09:00
3010001147786,株式会社プレイフルマインドカンパニー,1100015.0,東京都台東区東上野１丁目６番２号,,,2012-07-02,,2021-10-08 00:00:00+09:00
4011001090562,株式会社シンボシ,1500043.0,東京都渋谷区道玄坂２丁目１５番１号,,,2012-07-02,,2015-10-28 00:00:00+09:00
9030001093313,株式会社令和コンサルティング,1050004.0,東京都港区新橋５丁目７番８号永井ビル６階,,,2012-07-02,,2021-09-07 00:00:00+09:00
6011301018708,株式会社テックラボ,2060032.0,東京都多摩市南野２丁目６番地の３,,,2012-07-02,,2019-11-06 00:00:00+09:00
8010001147872,ビズメイツ株式会社,1010041.0,東京都千代田区神田須田町２丁目１９番地２３,128825000.0,99.0,2012-07-03,,2024-09-27 00:00:00+09:00
1011801026438,スペースディスプレー株式会社,1240012.0,東京都葛飾区立石２丁目２７番７号２階,,,2012-07-03,,2018-05-22 00:00:00+09:00
6012401023085,株式会社クラシフ,1040028.0,東京都中央区八重洲２丁目１−１ＹＡＮＭＡＲＴＯＫＹＯ１２Ｆ,,,2012-07-05,,2024-11-26 00:00:00+09:00
1010701026770,株式会社ｉ−Ｖｉｎｃｉ,1010054.0,東京都千代田区神田錦町３丁目１２番１０号,,,2012-07-06,,2019-02-13 00:00:00+09:00
1011001090755,株式会社シンクスバンク,1510053.0,東京都渋谷区代々木２丁目９番２号,,,2012-07-11,,2024-02-09 00:00:00+09:00
4040001077674,千葉グリーンエナジー株式会社,1160002.0,東京都荒川区荒川６丁目４２−１２−２０４,,,2012-07-12,,2023-09-05 00:00:00+09:00
4011401016514,株式会社ダ・カーポ,1040032.0,東京都中央区八丁堀１丁目９番６号吉半八重洲通りビル５階,,,2012-07-12,,2021-06-25 00:00:00+09:00
5012401023111,ノボキュア株式会社,1040031.0,東京都中央区京橋２丁目２番１号,,,2012-07-12,,2022-04-08 00:00:00+09:00
9011701016647,アブロードアウトソーシング株式会社,1010031.0,東京都千代田区東神田２丁目１番８号,,,2012-07-18,,2020-01-15 00:00:00+09:00
4010001148115,株式会社Ｊｅｔ　Ｔｅａｍ,1030012.0,東京都中央区日本橋堀留町１丁目１０番１１号,,,2012-07-18,,2019-11-18 00:00:00+09:00
8012701011614,株式会社アイディーケイジャパン,1890013.0,東京都東村山市栄町２丁目２２番地８−２Ｆ,,,2012-07-18,,2018-11-09 00:00:00+09:00
3010401100980,株式会社ジール,1410021.0,東京都品川区上大崎２丁目１３番１７号,,429.0,2012-07-20,,2018-09-06 00:00:00+09:00
1010701026820,ソニービズネットワークス株式会社,1500043.0,東京都渋谷区道玄坂１丁目１２番１号,,185.0,2012-07-20,,2020-03-31 00:00:00+09:00
5010001148221,東京インタープレイ株式会社,1040031.0,東京都中央区京橋１丁目１３番１号,,8.0,2012-07-23,2012.0,2023-08-28 00:00:00+09:00
4010001148263,株式会社リブ・コンサルティング,1030027.0,東京都中央区日本橋２丁目７番１号東京日本橋タワー,,,2012-07-24,,2024-11-14 00:00:00+09:00
1010401101007,イネーブラー株式会社,1600022.0,東京都新宿区新宿１丁目１５番９号さわだビル９階,,,2012-07-24,,2023-06-07 00:00:00+09:00
2011101064006,産経ヒューマンラーニング株式会社,1600023.0,東京都新宿区西新宿７丁目５番２５号,,,2012-07-24,,2018-09-06 00:00:00+09:00
8010001148284,株式会社Ｂｉｒｄｍａｎ,1500046.0,東京都渋谷区松濤１丁目５番３号,918654000.0,,2012-07-26,,2021-03-03 00:00:00+09:00
5010801022798,株式会社ライス,1440052.0,東京都大田区蒲田４丁目４１番８号,,,2012-07-27,,2024-01-05 00:00:00+09:00
8011201016033,関東バスコモンエステート株式会社,1640003.0,東京都中野区東中野５丁目２３番１４号,,,2012-07-30,,2018-06-26 00:00:00+09:00
6011801026524,株式会社ＥＬＳ,1310031.0,東京都墨田区墨田４丁目３４番１号,,,2012-07-30,,2018-11-19 00:00:00+09:00
2012401023155,株式会社エコロミ,1010054.0,東京都千代田区神田錦町３丁目２３番地１神田錦町安田ビル８Ｆ,,,2012-07-30,,2024-10-22 00:00:00+09:00
5040003004915,イノベーティブ・デザイン合同会社,1400001.0,東京都品川区北品川１丁目１９番５号コーストライン品川ビル３階Ａ室,,,2012-07-31,,2021-09-14 00:00:00+09:00
5010401101135,株式会社イニシャル,1070052.0,東京都港区赤坂４丁目１５番１号,,119.0,2012-08-01,,2025-01-07 00:00:00+09:00
8010001148400,株式会社新交通システム研究所,1040031.0,東京都中央区京橋２丁目１２番３号,,,2012-08-01,,2019-05-15 00:00:00+09:00
7012701011631,ミューテクノ株式会社,1870032.0,東京都小平市小川町１丁目２１２０番地,,,2012-08-01,,2018-05-23 00:00:00+09:00
9010801022811,株式会社ムーブエイト,1460092.0,東京都大田区下丸子２丁目１３番２−５０２号,,,2012-08-01,,2023-10-16 00:00:00+09:00
1011101064097,ディヴォートソリューション株式会社,1070062.0,東京都港区南青山２丁目１２−１５南青山二丁目ビル５Ｆ,,,2012-08-01,,2025-07-31 00:00:00+09:00
1180001106570,株式会社Ｄｒｅａｍ少年,1080075.0,東京都港区港南２丁目１６番１号品川イーストワンタワー４階,,8.0,2012-08-02,,2022-03-14 00:00:00+09:00
9070001027408,株式会社トライアングルズ,1520035.0,東京都目黒区自由が丘２丁目１７番６号ＢＩＯＰＨＩＬＩＡＰＬＡＣＥＪＩＹＵＧＡＯＫＡ３Ｆ,,,2012-08-06,,2025-02-03 00:00:00+09:00
3010601043220,ザイジール株式会社,1500042.0,東京都渋谷区宇田川町３３−１０Ｊ＋ＲビルＪサイド２Ｆ,,,2012-08-08,,2019-10-21 00:00:00+09:00
1010401101295,旭化成ゾールメディカル株式会社,1050003.0,東京都港区西新橋２丁目１番１号,,,2012-08-08,,2015-10-26 00:00:00+09:00
3010001148628,アセンブローグ株式会社,1000005.0,東京都千代田区丸の内１丁目１１番１号パシフィックセンチュリープレイス丸の内８階,,,2012-08-10,,2024-07-11 00:00:00+09:00
5010901030858,株式会社マカルーデジタル,1550033.0,東京都世田谷区代田６丁目１１番地１４号Ｇ１,,,2012-08-13,,2021-11-24 00:00:00+09:00
6010401101357,Ｃｒｅｗｗ株式会社,1500043.0,東京都渋谷区道玄坂２丁目１１番１号,,,2012-08-13,,2025-07-04 00:00:00+09:00
7010401101455,株式会社芝浦ホールディングス,1080075.0,東京都港区港南１丁目６番４１号,,,2012-08-20,,2018-08-29 00:00:00+09:00
1010001148761,株式会社ファインドオン,1010024.0,東京都千代田区神田和泉町１番地１の１３蓼沼ビル６階,,,2012-08-22,,2018-05-15 00:00:00+09:00
4010701026958,ステリジャパン株式会社,1410022.0,東京都品川区東五反田５丁目２３番７号五反田不二越ビル８階,,,2012-08-22,,2020-09-11 00:00:00+09:00
2010401101542,株式会社サピエント,1350091.0,東京都港区台場２丁目３番１号トレードピアお台場１４階,,,2012-08-28,,2024-04-08 00:00:00+09:00
5010401101556,株式会社ディア,1040032.0,東京都中央区八丁堀２丁目２１番１１号鈴らん通りビル６階,,,2012-08-28,,2020-12-07 00:00:00+09:00
6011703000949,フェニックス商事株式会社,1010032.0,東京都千代田区岩本町２丁目１６番１５号中屋第二ビル２階,,,2012-08-28,,2024-01-15 00:00:00+09:00
2010401101567,株式会社パイロットン,1010047.0,東京都千代田区内神田１丁目１４番８号ＫＡＮＤＡＳＱＵＡＲＥＧＡＴＥ３階,,22.0,2012-08-29,,2021-05-24 00:00:00+09:00
8010001148870,株式会社すみれ情報システム,1600022.0,東京都新宿区新宿４丁目３番１７号,,,2012-08-29,,2024-05-31 00:00:00+09:00
1010401101584,日本ＡＴＭビジネスサービス株式会社,1050013.0,東京都港区浜松町１丁目３０番５号,,,2012-08-30,,2018-04-17 00:00:00+09:00
3011001091438,株式会社スタジアム,1070052.0,東京都港区赤坂３丁目４番３号赤坂マカベビル６階,,,2012-08-30,,2019-05-27 00:00:00+09:00
9011001091432,株式会社つばさ商会,1510053.0,東京都渋谷区代々木２丁目２７−１６−３０５,,,2012-08-30,,2023-10-26 00:00:00+09:00
4011501017957,株式会社板野商会,1160014.0,東京都荒川区東日暮里２丁目４番６号,,,2012-09-03,,2018-05-16 00:00:00+09:00
7010401101620,株式会社エトス,1070052.0,東京都港区赤坂８丁目６番２７−５０１号,,80.0,2012-09-03,,2021-09-29 00:00:00+09:00
