種別,年,月,産業分類,規模,就業形態,常用雇用,現金給与総額,きまって支給する給与,実質賃金（現金給与総額）,総実労働時間,所定外労働時間
季節調整済指数,1997,1,D,T,0,,94.1,,,,
季節調整済指数,1997,1,E,0,0,125.9,96.1,90.9,100.5,104.8,116.6
季節調整済指数,1997,1,E,0,1,128.2,,,,,
季節調整済指数,1997,1,E,0,2,108.9,,,,,
季節調整済指数,1997,1,E,T,0,132.4,95.1,91.7,99.5,107,119.3
季節調整済指数,1997,1,E,T,1,135.4,,,,,
季節調整済指数,1997,1,E,T,2,116.5,,,,,
季節調整済指数,1997,1,TL,0,0,84.6,110,101.5,115.1,110.1,114
季節調整済指数,1997,1,TL,0,1,95,,,,,
季節調整済指数,1997,1,TL,0,2,52.5,,,,,
季節調整済指数,1997,1,TL,T,0,89,113.3,105.6,118.5,114.5,113.9
季節調整済指数,1997,1,TL,T,1,105.8,,,,,
季節調整済指数,1997,1,TL,T,2,51.2,,,,,
季節調整済指数,1997,2,D,T,0,,93.5,,,,
季節調整済指数,1997,2,E,0,0,125.8,93.8,91.7,98.1,106.9,119.4
季節調整済指数,1997,2,E,0,1,127.8,,,,,
季節調整済指数,1997,2,E,0,2,110,,,,,
季節調整済指数,1997,2,E,T,0,132.1,93.7,92.6,98,109.2,122
季節調整済指数,1997,2,E,T,1,134.9,,,,,
季節調整済指数,1997,2,E,T,2,116.8,,,,,
季節調整済指数,1997,2,TL,0,0,84.7,107.7,102.3,112.7,114.1,118.8
季節調整済指数,1997,2,TL,0,1,95.1,,,,,
季節調整済指数,1997,2,TL,0,2,51.4,,,,,
季節調整済指数,1997,2,TL,T,0,89,111.1,106.2,116.2,118.7,116.8
季節調整済指数,1997,2,TL,T,1,106,,,,,
季節調整済指数,1997,2,TL,T,2,51.1,,,,,
季節調整済指数,1997,3,D,T,0,,93,,,,
季節調整済指数,1997,3,E,0,0,125.9,93.6,91.6,98,105.8,121.2
季節調整済指数,1997,3,E,0,1,127.5,,,,,
季節調整済指数,1997,3,E,0,2,112.1,,,,,
季節調整済指数,1997,3,E,T,0,132.1,93.6,92.2,98,107.7,123.2
季節調整済指数,1997,3,E,T,1,134.7,,,,,
季節調整済指数,1997,3,E,T,2,118.7,,,,,
季節調整済指数,1997,3,TL,0,0,85,107.3,102.3,112.4,111.9,118.9
季節調整済指数,1997,3,TL,0,1,95.1,,,,,
季節調整済指数,1997,3,TL,0,2,52.1,,,,,
季節調整済指数,1997,3,TL,T,0,89.3,110.6,106.3,115.8,116.7,116.9
季節調整済指数,1997,3,TL,T,1,106,,,,,
季節調整済指数,1997,3,TL,T,2,51.3,,,,,
季節調整済指数,1997,4,D,T,0,,93.7,,,,
季節調整済指数,1997,4,E,0,0,125.9,94,92,96.5,106.3,125.6
季節調整済指数,1997,4,E,0,1,127.8,,,,,
季節調整済指数,1997,4,E,0,2,111.5,,,,,
季節調整済指数,1997,4,E,T,0,132.2,94,93.1,96.5,108.2,127.1
季節調整済指数,1997,4,E,T,1,135,,,,,
季節調整済指数,1997,4,E,T,2,117.6,,,,,
季節調整済指数,1997,4,TL,0,0,85.3,107.9,102.5,110.8,112.4,121
季節調整済指数,1997,4,TL,0,1,95.3,,,,,
季節調整済指数,1997,4,TL,0,2,52.4,,,,,
季節調整済指数,1997,4,TL,T,0,89.6,111.4,106.7,114.4,117,119.6
季節調整済指数,1997,4,TL,T,1,106.3,,,,,
季節調整済指数,1997,4,TL,T,2,51.5,,,,,
季節調整済指数,1997,5,D,T,0,,93.8,,,,
季節調整済指数,1997,5,E,0,0,126,94.4,92.2,97,106.2,123.9
季節調整済指数,1997,5,E,0,1,128,,,,,
季節調整済指数,1997,5,E,0,2,112.5,,,,,
季節調整済指数,1997,5,E,T,0,132.1,94.3,93.2,96.9,108.2,125.6
季節調整済指数,1997,5,E,T,1,134.8,,,,,
季節調整済指数,1997,5,E,T,2,117.8,,,,,
季節調整済指数,1997,5,TL,0,0,85.3,108.2,102.6,111.2,112.1,118.8
季節調整済指数,1997,5,TL,0,1,95.6,,,,,
季節調整済指数,1997,5,TL,0,2,52.2,,,,,
季節調整済指数,1997,5,TL,T,0,89.7,111.2,106.5,114.3,116.7,115.3
季節調整済指数,1997,5,TL,T,1,106.3,,,,,
季節調整済指数,1997,5,TL,T,2,51.7,,,,,
季節調整済指数,1997,6,D,T,0,,94.5,,,,
季節調整済指数,1997,6,E,0,0,125.8,96,92.8,98.4,106.7,123.5
季節調整済指数,1997,6,E,0,1,127.8,,,,,
季節調整済指数,1997,6,E,0,2,112.5,,,,,
季節調整済指数,1997,6,E,T,0,132,96,93.6,98.4,108.7,125.4
季節調整済指数,1997,6,E,T,1,134.3,,,,,
季節調整済指数,1997,6,E,T,2,117.9,,,,,
季節調整済指数,1997,6,TL,0,0,85.3,109.3,102.9,112,112.8,119.6
季節調整済指数,1997,6,TL,0,1,95.5,,,,,
季節調整済指数,1997,6,TL,0,2,52.5,,,,,
季節調整済指数,1997,6,TL,T,0,89.8,112.2,106.7,115,117,117.4
季節調整済指数,1997,6,TL,T,1,106.3,,,,,
季節調整済指数,1997,6,TL,T,2,51.8,,,,,
季節調整済指数,1997,7,D,T,0,,96,,,,
季節調整済指数,1997,7,E,0,0,125.7,98.5,92.4,100.9,106.6,122.8
季節調整済指数,1997,7,E,0,1,127.6,,,,,
季節調整済指数,1997,7,E,0,2,111.8,,,,,
季節調整済指数,1997,7,E,T,0,131.8,99.2,93.3,101.6,108.2,124
季節調整済指数,1997,7,E,T,1,134.4,,,,,
季節調整済指数,1997,7,E,T,2,117.8,,,,,
季節調整済指数,1997,7,TL,0,0,85.3,111.5,102.9,114.2,112.6,119.2
季節調整済指数,1997,7,TL,0,1,95.4,,,,,
季節調整済指数,1997,7,TL,0,2,52.5,,,,,
季節調整済指数,1997,7,TL,T,0,89.8,115,106.7,117.8,116.8,116.1
季節調整済指数,1997,7,TL,T,1,106.2,,,,,
季節調整済指数,1997,7,TL,T,2,52.2,,,,,
季節調整済指数,1997,8,D,T,0,,93,,,,
季節調整済指数,1997,8,E,0,0,125.6,96.6,92.2,99.2,105.6,119.8
季節調整済指数,1997,8,E,0,1,127.3,,,,,
季節調整済指数,1997,8,E,0,2,114,,,,,
季節調整済指数,1997,8,E,T,0,131.6,96.7,92.9,99.3,106.8,120.3
季節調整済指数,1997,8,E,T,1,134.1,,,,,
季節調整済指数,1997,8,E,T,2,119,,,,,
季節調整済指数,1997,8,TL,0,0,85.2,109.5,102.5,112.4,110.5,116.7
季節調整済指数,1997,8,TL,0,1,95.2,,,,,
季節調整済指数,1997,8,TL,0,2,52.9,,,,,
季節調整済指数,1997,8,TL,T,0,89.7,112.8,106.4,115.8,114.4,114.3
季節調整済指数,1997,8,TL,T,1,106.1,,,,,
季節調整済指数,1997,8,TL,T,2,52.4,,,,,
季節調整済指数,1997,9,D,T,0,,92.1,,,,
季節調整済指数,1997,9,E,0,0,125.4,94.1,91.9,96.3,106.2,118
季節調整済指数,1997,9,E,0,1,127,,,,,
季節調整済指数,1997,9,E,0,2,114.7,,,,,
季節調整済指数,1997,9,E,T,0,131.4,93.5,93,95.7,107.8,118.8
季節調整済指数,1997,9,E,T,1,133.9,,,,,
季節調整済指数,1997,9,E,T,2,120,,,,,
季節調整済指数,1997,9,TL,0,0,85.4,107.4,102.5,109.9,111.7,116
季節調整済指数,1997,9,TL,0,1,95.2,,,,,
季節調整済指数,1997,9,TL,0,2,52.9,,,,,
季節調整済指数,1997,9,TL,T,0,89.7,110.2,106.5,112.8,116.4,114
季節調整済指数,1997,9,TL,T,1,106.1,,,,,
季節調整済指数,1997,9,TL,T,2,52.7,,,,,
季節調整済指数,1997,10,D,T,0,,92.1,,,,
季節調整済指数,1997,10,E,0,0,125.4,93.7,92.1,96,104.6,115.7
季節調整済指数,1997,10,E,0,1,126.8,,,,,
季節調整済指数,1997,10,E,0,2,117.9,,,,,
季節調整済指数,1997,10,E,T,0,131.3,93.3,92.9,95.6,106.5,117.4
季節調整済指数,1997,10,E,T,1,133.6,,,,,
季節調整済指数,1997,10,E,T,2,121.8,,,,,
季節調整済指数,1997,10,TL,0,0,85.6,106.9,102.4,109.5,111,114.5
季節調整済指数,1997,10,TL,0,1,95,,,,,
季節調整済指数,1997,10,TL,0,2,55.2,,,,,
季節調整済指数,1997,10,TL,T,0,89.8,110.3,106.4,113,115.5,113.2
季節調整済指数,1997,10,TL,T,1,106,,,,,
季節調整済指数,1997,10,TL,T,2,53.5,,,,,
季節調整済指数,1997,11,D,T,0,,90.1,,,,
季節調整済指数,1997,11,E,0,0,125.3,93.6,92.5,96,106.1,116.7
季節調整済指数,1997,11,E,0,1,127,,,,,
季節調整済指数,1997,11,E,0,2,116.7,,,,,
季節調整済指数,1997,11,E,T,0,131.2,93.2,93.1,95.6,107.4,118.3
季節調整済指数,1997,11,E,T,1,133.6,,,,,
季節調整済指数,1997,11,E,T,2,121.2,,,,,
季節調整済指数,1997,11,TL,0,0,85.6,107,102.4,109.7,111.6,115.6
季節調整済指数,1997,11,TL,0,1,95,,,,,
季節調整済指数,1997,11,TL,0,2,54.9,,,,,
季節調整済指数,1997,11,TL,T,0,90,110.1,106.3,112.9,115.9,112.4
季節調整済指数,1997,11,TL,T,1,106.1,,,,,
季節調整済指数,1997,11,TL,T,2,53.5,,,,,
季節調整済指数,1997,12,D,T,0,,101.6,,,,
季節調整済指数,1997,12,E,0,0,125.1,100.5,92.2,103.2,105.5,113.7
季節調整済指数,1997,12,E,0,1,126.4,,,,,
季節調整済指数,1997,12,E,0,2,117.3,,,,,
季節調整済指数,1997,12,E,T,0,131,100.8,92.9,103.5,107.1,115.2
季節調整済指数,1997,12,E,T,1,133,,,,,
季節調整済指数,1997,12,E,T,2,121.5,,,,,
季節調整済指数,1997,12,TL,0,0,85.5,114.4,102.7,117.5,110.9,113.4
季節調整済指数,1997,12,TL,0,1,95.1,,,,,
季節調整済指数,1997,12,TL,0,2,55,,,,,
季節調整済指数,1997,12,TL,T,0,89.8,118.4,106.3,121.6,115.4,111.4
季節調整済指数,1997,12,TL,T,1,105.8,,,,,
季節調整済指数,1997,12,TL,T,2,53.4,,,,,
季節調整済指数,1998,1,D,T,0,,90.1,,,,
季節調整済指数,1998,1,E,0,0,124.6,95.7,91.8,98.2,104.9,110.5
季節調整済指数,1998,1,E,0,1,125.8,,,,,
季節調整済指数,1998,1,E,0,2,117.7,,,,,
季節調整済指数,1998,1,E,T,0,130.5,95.1,92.7,97.5,106.6,111.4
季節調整済指数,1998,1,E,T,1,132.6,,,,,
季節調整済指数,1998,1,E,T,2,120.5,,,,,
季節調整済指数,1998,1,TL,0,0,85.6,109.6,102.2,112.4,110.2,111.9
季節調整済指数,1998,1,TL,0,1,94.7,,,,,
季節調整済指数,1998,1,TL,0,2,55.8,,,,,
季節調整済指数,1998,1,TL,T,0,89.7,112.4,106.2,115.3,114.5,110
季節調整済指数,1998,1,TL,T,1,105.6,,,,,
季節調整済指数,1998,1,TL,T,2,53.6,,,,,
季節調整済指数,1998,2,D,T,0,,92,,,,
季節調整済指数,1998,2,E,0,0,124.2,93.9,91.8,96.2,104.7,108.5
季節調整済指数,1998,2,E,0,1,125.4,,,,,
季節調整済指数,1998,2,E,0,2,117,,,,,
季節調整済指数,1998,2,E,T,0,130.1,94.1,92.9,96.4,106.5,109.5
季節調整済指数,1998,2,E,T,1,132.3,,,,,
季節調整済指数,1998,2,E,T,2,120.1,,,,,
季節調整済指数,1998,2,TL,0,0,85.5,107.5,102.4,110.1,111.1,111.2
季節調整済指数,1998,2,TL,0,1,94.5,,,,,
季節調整済指数,1998,2,TL,0,2,56,,,,,
季節調整済指数,1998,2,TL,T,0,89.7,110.8,106.3,113.5,115.8,109.9
季節調整済指数,1998,2,TL,T,1,105.5,,,,,
季節調整済指数,1998,2,TL,T,2,53.9,,,,,
季節調整済指数,1998,3,D,T,0,,92.6,,,,
季節調整済指数,1998,3,E,0,0,124.2,93.7,91.8,95.9,104.5,104.7
季節調整済指数,1998,3,E,0,1,125.6,,,,,
季節調整済指数,1998,3,E,0,2,114.7,,,,,
季節調整済指数,1998,3,E,T,0,130,93.8,92.7,96,105.7,106.8
季節調整済指数,1998,3,E,T,1,131.9,,,,,
季節調整済指数,1998,3,E,T,2,119.5,,,,,
季節調整済指数,1998,3,TL,0,0,85.6,107.9,102.3,110.4,110.3,109.2
季節調整済指数,1998,3,TL,0,1,94.8,,,,,
季節調整済指数,1998,3,TL,0,2,56,,,,,
季節調整済指数,1998,3,TL,T,0,89.6,111.2,106.3,113.8,114.9,108.8
季節調整済指数,1998,3,TL,T,1,105.5,,,,,
季節調整済指数,1998,3,TL,T,2,54,,,,,
季節調整済指数,1998,4,D,T,0,,90.9,,,,
季節調整済指数,1998,4,E,0,0,124.3,93.6,91.9,95.9,104.5,103.6
季節調整済指数,1998,4,E,0,1,125.7,,,,,
季節調整済指数,1998,4,E,0,2,116.5,,,,,
季節調整済指数,1998,4,E,T,0,130,93.5,92.7,95.8,105.8,105.1
季節調整済指数,1998,4,E,T,1,132,,,,,
季節調整済指数,1998,4,E,T,2,119.2,,,,,
季節調整済指数,1998,4,TL,0,0,85.8,107.1,102.2,109.7,111.2,108
季節調整済指数,1998,4,TL,0,1,95.1,,,,,
季節調整済指数,1998,4,TL,0,2,56.1,,,,,
季節調整済指数,1998,4,TL,T,0,89.7,110.4,106.2,113.1,115.3,107.5
季節調整済指数,1998,4,TL,T,1,105.5,,,,,
季節調整済指数,1998,4,TL,T,2,53.9,,,,,
季節調整済指数,1998,5,D,T,0,,91,,,,
季節調整済指数,1998,5,E,0,0,124.2,94.2,92.2,96.3,104,101.9
季節調整済指数,1998,5,E,0,1,125.8,,,,,
季節調整済指数,1998,5,E,0,2,114.5,,,,,
季節調整済指数,1998,5,E,T,0,129.5,94,92.9,96.1,105.7,103
季節調整済指数,1998,5,E,T,1,131.9,,,,,
季節調整済指数,1998,5,E,T,2,118.7,,,,,
季節調整済指数,1998,5,TL,0,0,85.9,106.9,102.3,109.3,110.5,107.5
季節調整済指数,1998,5,TL,0,1,95.3,,,,,
季節調整済指数,1998,5,TL,0,2,55.8,,,,,
季節調整済指数,1998,5,TL,T,0,89.7,110.5,106.3,113,114.7,106.5
季節調整済指数,1998,5,TL,T,1,105.4,,,,,
季節調整済指数,1998,5,TL,T,2,54,,,,,
季節調整済指数,1998,6,D,T,0,,91,,,,
