財務省　国際収支状況,,,,,,,,,,,,,,,,,,,
Ⅰ.国際収支総括表,,,,,,,,,,,,,,,,,,,
   (データ期間：平成8年～）,,,,,,,,,,,,,,,,,,,
6s-1-1暦年（半期含む）,,,,,,,,,,,,,,,,,,,
  （単位　億円）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Japan's Balance of Payments ,,,,,,,,,,,,,,,,,,,
Historical Data,,,,,,,,,,,,,,,,,,,
Ⅰ. Summary of balance of payments,,,,,,,,,,,,,,,,,,,
　　Not seasonally adjusted,,,,,,,,,,,,,,,,,,,
   (1996C.Y. - present),,,,,,,,,,,,,,,,,,,
6s-1-1 Annual figures (calendar year)(including half-yearly figures),,,,,,,,,,,,,,,,,,,
  （100　million Yen),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
（備考）  　 ①（P)は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,,,,,,,,,,
　 　　　　 　② 金融収支のプラス（＋）は純資産の増加、マイナス（－）は純資産の減少を示す。,,,,,,,,,,,,,,,,,,,
　 　　　　 　③ 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,,,,,,,,,,
　 　　　　 　④ 令和7年4月8日付で、令和4年1月から令和6年9月までの計数について一部改訂を行っている。,,,,,,,,,,,,,,,,,,,
（NOTES)  ① (P) shows preliminary figures. Totals may not add due to rounding.,,,,,,,,,,,,,,,,,,,
"　　 　 　　　② Positive figures (+) show increase in net assets, negative figures (-) show decrease in net assets in ""Financial account"". ",,,,,,,,,,,,,,,,,,,
"　　 　 　　　③ Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,,,,,,,,,,
"　 　　　　 　④ Certain figures from January 2022 up to September 2024 are revised as of April 8, 2025.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,経常収支 (a+b+c),,,,,,,,資本移転等収支,金融収支 ,,,,,,誤差脱漏
,,,,Current account (a+b+c),,,,,,,,Capital account,Financial account ,,,,,,Net errors & omissions
,,,,,(a)貿易・サービス収支,,,,,(b)第一次所得収支,(c)第二次所得収支,,,直接投資,証券投資,金融派生商品,その他投資,外貨準備,
,,,,,(a)Goods & services,,,,,(b)Primary income,(c)Secondary income,,,Direct investment,Portfolio investment,Financial derivatives(other than reserves),Other investment,Reserve assets,
,,,,,,貿易収支,,,サービス収支,,,,,,,,,,
,,,,,,Goods,輸出,輸入,Services,,,,,,,,,,
,,,,,,,Exports,Imports,,,,,,,,,,,
（暦年）,,,,,,,,,,,,,,,,,,,
(Annual figures),,,,,,,,,,,,,,,,,,,
平成8年,,1996C.Y.,,"74,943","23,174","90,346","430,153","339,807","-67,172","61,544","-9,775","-3,537","72,723","28,648","37,082","8,011","-40,442","39,424","1,317"
平成9年,,1997C.Y.,,"115,700","57,680","123,709","488,801","365,091","-66,029","68,733","-10,713","-4,879","152,467","25,910","-41,402","7,166","153,133","7,660","41,645"
平成10年,,1998C.Y.,,"149,981","95,299","160,782","482,899","322,117","-65,483","66,146","-11,463","-19,313","136,226","22,141","57,989","-1,035","67,118","-9,986","5,558"
平成11年,,1999C.Y.,,"129,734","78,650","141,370","452,547","311,176","-62,720","64,953","-13,869","-19,088","130,830","10,604","30,022","3,305","-1,064","87,963","20,184"
平成12年,,2000C.Y.,,"140,616","74,298","126,983","489,635","362,652","-52,685","76,914","-10,596","-9,947","148,757","36,900","38,470","5,090","15,688","52,609","18,088"
平成13年,,2001C.Y.,,"104,524","32,120","88,469","460,367","371,898","-56,349","82,009","-9,604","-3,462","105,629","37,001","56,291","-1,853","-35,175","49,364","4,567"
平成14年,,2002C.Y.,,"136,837","64,690","121,211","489,029","367,817","-56,521","78,105","-5,958","-4,217","133,968","24,331","131,486","-2,630","-77,189","57,969","1,348"
平成15年,,2003C.Y.,,"161,254","83,553","124,631","513,292","388,660","-41,078","86,398","-8,697","-4,672","136,860","29,643","114,731","-6,074","-216,728","215,288","-19,722"
平成16年,,2004C.Y.,,"196,941","101,961","144,235","577,036","432,801","-42,274","103,488","-8,509","-5,134","160,928","35,789","-23,403","-2,590","-21,542","172,675","-30,879"
平成17年,,2005C.Y.,,"187,277","76,930","117,712","630,094","512,382","-40,782","118,503","-8,157","-5,490","163,444","51,703","10,700","8,023","68,456","24,562","-18,343"
平成18年,,2006C.Y.,,"203,307","73,460","110,701","720,268","609,567","-37,241","142,277","-12,429","-5,533","160,494","70,191","-147,961","-2,835","203,903","37,196","-37,280"
平成19年,,2007C.Y.,,"249,490","98,253","141,873","800,236","658,364","-43,620","164,818","-13,581","-4,731","263,775","60,203","-82,515","-3,249","246,362","42,974","19,016"
平成20年,,2008C.Y.,,"148,786","18,899","58,031","776,111","718,081","-39,131","143,402","-13,515","-5,583","186,502","89,243","281,887","-24,562","-192,067","32,001","43,299"
平成21年,,2009C.Y.,,"135,925","21,249","53,876","511,216","457,340","-32,627","126,312","-11,635","-4,653","156,292","57,294","199,485","-9,487","-116,266","25,265","25,019"
平成22年,,2010C.Y.,,"193,828","68,571","95,160","643,914","548,754","-26,588","136,173","-10,917","-4,341","217,099","62,511","127,014","-10,262",-89,"37,925","27,612"
平成23年,,2011C.Y.,,"104,013","-31,101","-3,302","629,653","632,955","-27,799","146,210","-11,096",282,"126,294","93,101","-135,245","-13,470","44,010","137,897","21,998"
平成24年,,2012C.Y.,,"47,640","-80,829","-42,719","619,568","662,287","-38,110","139,914","-11,445",-804,"41,925","93,591","24,435","5,903","-51,490","-30,515","-4,911"
平成25年,,2013C.Y.,,"44,566","-122,521","-87,734","678,290","766,024","-34,786","176,978","-9,892","-7,436","-4,087","142,459","-265,652","55,516","25,085","38,504","-41,217"
