corporate_number,name,location,postal_code,status,update_date,founded_year
3010701042353,株式会社キカリ,東京都千代田区麹町３丁目３番地８,1020083.0,,2023-07-14T00:00:00+09:00,2022
6010001207083,株式会社ＳＥＶＥＮ　ＳＥＡＬＳ,神奈川県横浜市西区みなとみらい２丁目２番１号ランドマークタワー３１Ｆ,2200012.0,,2023-07-14T00:00:00+09:00,2020
6130005015768,一般社団法人相続なんでも相談センター,大阪府吹田市垂水町３丁目４番４号,5640062.0,,2023-07-14T00:00:00+09:00,2019
8290001097636,株式会社ネクサスコア,福岡県福岡市中央区天神１丁目１番１号アクロス福岡１階,8100001.0,,2023-07-14T00:00:00+09:00,2022
1430001078470,株式会社スクラッチシステムマネージメンツ,北海道札幌市中央区北三条西７丁目１番地１ＳＡＫＵＲＡ−Ｎ３,600003.0,,2021-01-04T00:00:00+09:00,2019
1430001079832,株式会社ザイマックス北海道,北海道札幌市中央区北一条西３丁目２番地,600001.0,,2020-01-16T00:00:00+09:00,2019
1430001080583,株式会社ピースクリーン,北海道札幌市東区北二十六条東７丁目３番１２号,650026.0,,2020-01-14T00:00:00+09:00,2020
1430001082448,新日本ビルサービス株式会社,北海道札幌市中央区北二条西２丁目２９番地２ウエノビルディング８階,600002.0,,2022-06-13T00:00:00+09:00,2020
1430001084238,Ｒｅｇｉｏｎａｌ　Ｄｅｓｉｇｎ株式会社,北海道夕張郡長沼町字幌内２２７７番地２１,691464.0,,2021-06-03T00:00:00+09:00,2021
1430001087827,株式会社イクヲル,北海道札幌市北区篠路九条６丁目１番１０−２０１号,28029.0,,2022-11-07T00:00:00+09:00,2022
1430001087983,株式会社恵庭富貴堂,北海道恵庭市桜町３丁目９番１２号,611416.0,,2022-12-06T00:00:00+09:00,2022
1430001088180,株式会社セキショー,北海道札幌市東区北二十七条東２０丁目２番９号,650027.0,,2023-01-12T00:00:00+09:00,2023
1430001089170,株式会社マリート,北海道札幌市豊平区西岡三条１３丁目１５番３号,620033.0,,2023-05-25T00:00:00+09:00,2023
1430003010349,ＰＣＨ合同会社,北海道札幌市中央区南一条西１６丁目１番３２３春野ビル３Ｆ,600061.0,,2020-11-25T00:00:00+09:00,2019
1430003014416,合同会社昇龍,北海道苫小牧市東開町６丁目９番１９号,591301.0,,2022-11-01T00:00:00+09:00,2022
1430005013787,一般社団法人北海道日本語センター,北海道札幌市手稲区手稲本町五条２丁目１１番１３号,60025.0,,2022-05-09T00:00:00+09:00,2019
1440003001487,合同会社ノーブルサベージ,北海道函館市亀田町８番４４号,400072.0,,2022-10-05T00:00:00+09:00,2022
1450001013789,株式会社ホープス,北海道旭川市豊岡二条４丁目４番１４号,788232.0,,2022-09-08T00:00:00+09:00,2022
1460101007319,株式会社ケイシステム,北海道帯広市東二条南１５丁目１０番地２ぜんりん第３ビル５−Ｅ,800802.0,,2023-01-31T00:00:00+09:00,2023
1460103001195,株式会社更別プリディクション,北海道河西郡更別村字更南南七線４３番地,891541.0,,2022-05-27T00:00:00+09:00,2019
1460105002200,一般社団法人にほんごさぽーと北海道,北海道河東郡音更町新通１１丁目４番地３５,800104.0,,2020-06-26T00:00:00+09:00,2020
1460303000781,合同会社ワイルドライフプロ,北海道斜里郡斜里町朝日町７番地５４,994114.0,,2022-12-05T00:00:00+09:00,2022
2430001078429,株式会社ノースディテール,北海道札幌市中央区北一条西１丁目６番地,600001.0,,2020-04-27T00:00:00+09:00,2019
2430001079278,株式会社ファイブシーズメディカル,北海道札幌市中央区北一条西１３丁目４番地,600001.0,,2023-04-03T00:00:00+09:00,2019
2430001082579,株式会社広瀬商店,北海道登別市鷲別町４丁目１７番地２,590034.0,,2020-10-21T00:00:00+09:00,2020
2430001082703,株式会社池田組,北海道札幌市東区北三十六条東２３丁目８番２４号,70836.0,,2020-11-10T00:00:00+09:00,2020
2430001085994,株式会社アーバン・クリーク,北海道札幌市中央区北一条西２０丁目３番２６号岸本ビル３Ｆ,640821.0,,2022-02-15T00:00:00+09:00,2022
2430001086118,大熊ダイヤモンドデバイス株式会社,北海道札幌市北区北二十一条西１２丁目２北大ビジネススプリング,10021.0,,2023-06-20T00:00:00+09:00,2022
2430001086332,日本環境設備株式会社,北海道札幌市豊平区月寒東二条１６丁目１１番３号,620052.0,,2022-04-04T00:00:00+09:00,2022
2430003010637,Ｔｅｘｔｉｌｅ　Ｉｍｐｏｒｔ合同会社,北海道札幌市西区西野五条２丁目８番４３号,630035.0,,2019-07-23T00:00:00+09:00,2019
2430003011123,合同会社Ｎｉｔａ　Ｌｉｍｏ,北海道小樽市稲穂３丁目１６番サン・スタスィオン１０１号室,470032.0,,2023-03-08T00:00:00+09:00,2019
2430005014041,土地家屋調査士法人小西事務所,北海道滝川市緑町１丁目５番２２号,730023.0,,2020-11-20T00:00:00+09:00,2020
