corporate_number,name,location,postal_code,status,update_date,founded_year,都道府県,longitude,latitude
3010701042353,株式会社キカリ,東京都千代田区麹町３丁目３番地８,1020083.0,,2023-07-14 00:00:00+09:00,2022,東京都,139.738632,35.683769
6010001207083,株式会社ＳＥＶＥＮ　ＳＥＡＬＳ,神奈川県横浜市西区みなとみらい２丁目２番１号ランドマークタワー３１Ｆ,2200012.0,,2023-07-14 00:00:00+09:00,2020,神奈川県,139.631454,35.455093
6130005015768,一般社団法人相続なんでも相談センター,大阪府吹田市垂水町３丁目４番４号,5640062.0,,2023-07-14 00:00:00+09:00,2019,大阪府,135.502136,34.763737
8290001097636,株式会社ネクサスコア,福岡県福岡市中央区天神１丁目１番１号アクロス福岡１階,8100001.0,,2023-07-14 00:00:00+09:00,2022,福岡県,130.403717,33.589542
1430001078470,株式会社スクラッチシステムマネージメンツ,北海道札幌市中央区北三条西７丁目１番地１ＳＡＫＵＲＡ−Ｎ３,600003.0,,2021-01-04 00:00:00+09:00,2019,北海道,141.345428,43.064537
1430001079832,株式会社ザイマックス北海道,北海道札幌市中央区北一条西３丁目２番地,600001.0,,2020-01-16 00:00:00+09:00,2019,北海道,141.352249,43.06192
1430001080583,株式会社ピースクリーン,北海道札幌市東区北二十六条東７丁目３番１２号,650026.0,,2020-01-14 00:00:00+09:00,2020,北海道,141.359467,43.095921
1430001082448,新日本ビルサービス株式会社,北海道札幌市中央区北二条西２丁目２９番地２ウエノビルディング８階,600002.0,,2022-06-13 00:00:00+09:00,2020,北海道,141.353226,43.064049
1430001084238,Ｒｅｇｉｏｎａｌ　Ｄｅｓｉｇｎ株式会社,北海道夕張郡長沼町字幌内２２７７番地２１,691464.0,,2021-06-03 00:00:00+09:00,2021,北海道,141.731735,42.931038
1430001087827,株式会社イクヲル,北海道札幌市北区篠路九条６丁目１番１０−２０１号,28029.0,,2022-11-07 00:00:00+09:00,2022,北海道,141.362671,43.155125
1430001087983,株式会社恵庭富貴堂,北海道恵庭市桜町３丁目９番１２号,611416.0,,2022-12-06 00:00:00+09:00,2022,北海道,141.57663,42.872467
1430001088180,株式会社セキショー,北海道札幌市東区北二十七条東２０丁目２番９号,650027.0,,2023-01-12 00:00:00+09:00,2023,北海道,141.380508,43.099648
1430001089170,株式会社マリート,北海道札幌市豊平区西岡三条１３丁目１５番３号,620033.0,,2023-05-25 00:00:00+09:00,2023,北海道,141.375946,42.996326
1430003010349,ＰＣＨ合同会社,北海道札幌市中央区南一条西１６丁目１番３２３春野ビル３Ｆ,600061.0,,2020-11-25 00:00:00+09:00,2019,北海道,141.332489,43.05658
1430003014416,合同会社昇龍,北海道苫小牧市東開町６丁目９番１９号,591301.0,,2022-11-01 00:00:00+09:00,2022,北海道,141.696564,42.668854
1430005013787,一般社団法人北海道日本語センター,北海道札幌市手稲区手稲本町五条２丁目１１番１３号,60025.0,,2022-05-09 00:00:00+09:00,2019,北海道,141.237564,43.114674
1440003001487,合同会社ノーブルサベージ,北海道函館市亀田町８番４４号,400072.0,,2022-10-05 00:00:00+09:00,2022,北海道,140.734772,41.793598
1450001013789,株式会社ホープス,北海道旭川市豊岡二条４丁目４番１４号,788232.0,,2022-09-08 00:00:00+09:00,2022,北海道,142.403473,43.757477
